p,mean_m,T,interaction_type
0.3,1.0,0.0,ferro
0.6,1.0,0.0,ferro
0.9,1.0,0.0,ferro
0.3,1.0,0.020202020202020204,ferro
0.6,1.0,0.020202020202020204,ferro
0.9,0.99995,0.020202020202020204,ferro
0.3,1.0,0.04040404040404041,ferro
0.6,1.0,0.04040404040404041,ferro
0.9,0.9983500000000001,0.04040404040404041,ferro
0.3,0.99995,0.06060606060606061,ferro
0.6,1.0,0.06060606060606061,ferro
0.9,0.9967750000000001,0.06060606060606061,ferro
0.3,0.9997750000000001,0.08080808080808081,ferro
0.6,1.0,0.08080808080808081,ferro
0.9,0.995025,0.08080808080808081,ferro
0.3,0.9995,0.10101010101010102,ferro
0.6,0.99995,0.10101010101010102,ferro
0.9,0.9941,0.10101010101010102,ferro
0.3,0.9987250000000001,0.12121212121212122,ferro
0.6,0.9998750000000001,0.12121212121212122,ferro
0.9,0.99325,0.12121212121212122,ferro
0.3,0.99795,0.14141414141414144,ferro
0.6,0.9993000000000001,0.14141414141414144,ferro
0.9,0.9923000000000001,0.14141414141414144,ferro
0.3,0.997525,0.16161616161616163,ferro
0.6,0.9991749999999999,0.16161616161616163,ferro
0.9,0.9904750000000001,0.16161616161616163,ferro
0.3,0.9966,0.18181818181818182,ferro
0.6,0.998775,0.18181818181818182,ferro
0.9,0.9891500000000001,0.18181818181818182,ferro
0.3,0.995775,0.20202020202020204,ferro
0.6,0.998025,0.20202020202020204,ferro
0.9,0.9889749999999999,0.20202020202020204,ferro
0.3,0.9953500000000002,0.22222222222222224,ferro
0.6,0.9977500000000001,0.22222222222222224,ferro
0.9,0.98665,0.22222222222222224,ferro
0.3,0.994225,0.24242424242424243,ferro
0.6,0.997175,0.24242424242424243,ferro
0.9,0.9847750000000001,0.24242424242424243,ferro
0.3,0.992675,0.26262626262626265,ferro
0.6,0.996475,0.26262626262626265,ferro
0.9,0.9843750000000002,0.26262626262626265,ferro
0.3,0.9912000000000001,0.2828282828282829,ferro
0.6,0.9956,0.2828282828282829,ferro
0.9,0.9827000000000001,0.2828282828282829,ferro
0.3,0.9892000000000001,0.30303030303030304,ferro
0.6,0.9944000000000002,0.30303030303030304,ferro
0.9,0.980275,0.30303030303030304,ferro
0.3,0.9880500000000001,0.32323232323232326,ferro
0.6,0.9938500000000001,0.32323232323232326,ferro
0.9,0.9787,0.32323232323232326,ferro
0.3,0.9876750000000001,0.3434343434343435,ferro
0.6,0.992,0.3434343434343435,ferro
0.9,0.973425,0.3434343434343435,ferro
0.3,0.9854750000000001,0.36363636363636365,ferro
0.6,0.9895500000000002,0.36363636363636365,ferro
0.9,0.9704000000000002,0.36363636363636365,ferro
0.3,0.9808750000000002,0.38383838383838387,ferro
0.6,0.98905,0.38383838383838387,ferro
0.9,0.9684250000000001,0.38383838383838387,ferro
0.3,0.981375,0.4040404040404041,ferro
0.6,0.9874250000000001,0.4040404040404041,ferro
0.9,0.9691750000000001,0.4040404040404041,ferro
0.3,0.9751000000000001,0.42424242424242425,ferro
0.6,0.98475,0.42424242424242425,ferro
0.9,0.9611000000000001,0.42424242424242425,ferro
0.3,0.9743999999999999,0.4444444444444445,ferro
0.6,0.98205,0.4444444444444445,ferro
0.9,0.9591000000000001,0.4444444444444445,ferro
0.3,0.9684,0.4646464646464647,ferro
0.6,0.9808250000000001,0.4646464646464647,ferro
0.9,0.9518500000000001,0.4646464646464647,ferro
0.3,0.9624000000000001,0.48484848484848486,ferro
0.6,0.9758500000000001,0.48484848484848486,ferro
0.9,0.9449000000000001,0.48484848484848486,ferro
0.3,0.9623,0.5050505050505051,ferro
0.6,0.9749000000000001,0.5050505050505051,ferro
0.9,0.9329750000000001,0.5050505050505051,ferro
0.3,0.9596750000000001,0.5252525252525253,ferro
0.6,0.9711000000000001,0.5252525252525253,ferro
0.9,0.940525,0.5252525252525253,ferro
0.3,0.9522750000000001,0.5454545454545455,ferro
0.6,0.96655,0.5454545454545455,ferro
0.9,0.9362250000000001,0.5454545454545455,ferro
0.3,0.93885,0.5656565656565657,ferro
0.6,0.9525250000000001,0.5656565656565657,ferro
0.9,0.91205,0.5656565656565657,ferro
0.3,0.931975,0.5858585858585859,ferro
0.6,0.95675,0.5858585858585859,ferro
0.9,0.9193250000000001,0.5858585858585859,ferro
0.3,0.9363250000000001,0.6060606060606061,ferro
0.6,0.9489749999999999,0.6060606060606061,ferro
0.9,0.9125749999999999,0.6060606060606061,ferro
0.3,0.912,0.6262626262626263,ferro
0.6,0.94825,0.6262626262626263,ferro
0.9,0.882525,0.6262626262626263,ferro
0.3,0.914625,0.6464646464646465,ferro
0.6,0.9273500000000001,0.6464646464646465,ferro
0.9,0.8975250000000001,0.6464646464646465,ferro
0.3,0.895975,0.6666666666666667,ferro
0.6,0.930625,0.6666666666666667,ferro
0.9,0.8801,0.6666666666666667,ferro
0.3,0.887375,0.686868686868687,ferro
0.6,0.9284999999999999,0.686868686868687,ferro
0.9,0.8629,0.686868686868687,ferro
0.3,0.865675,0.7070707070707072,ferro
0.6,0.9169750000000001,0.7070707070707072,ferro
0.9,0.8591249999999999,0.7070707070707072,ferro
0.3,0.8671500000000001,0.7272727272727273,ferro
0.6,0.91415,0.7272727272727273,ferro
0.9,0.8554999999999999,0.7272727272727273,ferro
0.3,0.844075,0.7474747474747475,ferro
0.6,0.906075,0.7474747474747475,ferro
0.9,0.8401749999999999,0.7474747474747475,ferro
0.3,0.8461750000000001,0.7676767676767677,ferro
0.6,0.88995,0.7676767676767677,ferro
0.9,0.83805,0.7676767676767677,ferro
0.3,0.817,0.787878787878788,ferro
0.6,0.880425,0.787878787878788,ferro
0.9,0.819375,0.787878787878788,ferro
0.3,0.77795,0.8080808080808082,ferro
0.6,0.8631250000000001,0.8080808080808082,ferro
0.9,0.810125,0.8080808080808082,ferro
0.3,0.7892,0.8282828282828284,ferro
0.6,0.8634000000000001,0.8282828282828284,ferro
0.9,0.7820750000000001,0.8282828282828284,ferro
0.3,0.7611500000000001,0.8484848484848485,ferro
0.6,0.8549,0.8484848484848485,ferro
0.9,0.780025,0.8484848484848485,ferro
0.3,0.7895500000000001,0.8686868686868687,ferro
0.6,0.845575,0.8686868686868687,ferro
0.9,0.768375,0.8686868686868687,ferro
0.3,0.7725249999999999,0.888888888888889,ferro
0.6,0.840725,0.888888888888889,ferro
0.9,0.7725500000000001,0.888888888888889,ferro
0.3,0.71705,0.9090909090909092,ferro
0.6,0.8160000000000001,0.9090909090909092,ferro
0.9,0.7642249999999999,0.9090909090909092,ferro
0.3,0.7266750000000001,0.9292929292929294,ferro
0.6,0.7958250000000001,0.9292929292929294,ferro
0.9,0.7567750000000001,0.9292929292929294,ferro
0.3,0.65345,0.9494949494949496,ferro
0.6,0.8046249999999999,0.9494949494949496,ferro
0.9,0.7314,0.9494949494949496,ferro
0.3,0.636625,0.9696969696969697,ferro
0.6,0.7745249999999999,0.9696969696969697,ferro
0.9,0.6901,0.9696969696969697,ferro
0.3,0.5674250000000001,0.98989898989899,ferro
0.6,0.758275,0.98989898989899,ferro
0.9,0.70315,0.98989898989899,ferro
0.3,0.496225,1.0101010101010102,ferro
0.6,0.7465999999999999,1.0101010101010102,ferro
0.9,0.6921499999999999,1.0101010101010102,ferro
0.3,0.48465,1.0303030303030305,ferro
0.6,0.7348999999999999,1.0303030303030305,ferro
0.9,0.6908749999999999,1.0303030303030305,ferro
0.3,0.55225,1.0505050505050506,ferro
0.6,0.70905,1.0505050505050506,ferro
0.9,0.6653249999999999,1.0505050505050506,ferro
0.3,0.39685000000000004,1.0707070707070707,ferro
0.6,0.69885,1.0707070707070707,ferro
0.9,0.6340999999999999,1.0707070707070707,ferro
0.3,0.33520000000000005,1.090909090909091,ferro
0.6,0.583175,1.090909090909091,ferro
0.9,0.642475,1.090909090909091,ferro
0.3,0.48009999999999997,1.1111111111111112,ferro
0.6,0.637825,1.1111111111111112,ferro
0.9,0.6068499999999999,1.1111111111111112,ferro
0.3,0.26535,1.1313131313131315,ferro
0.6,0.673125,1.1313131313131315,ferro
0.9,0.605,1.1313131313131315,ferro
0.3,0.35015,1.1515151515151516,ferro
0.6,0.596125,1.1515151515151516,ferro
0.9,0.576875,1.1515151515151516,ferro
0.3,0.29069999999999996,1.1717171717171717,ferro
0.6,0.5803499999999999,1.1717171717171717,ferro
