m,mean_m,T,interaction_type
1,0.8,0.0,ferro
2,1.0,0.0,ferro
3,0.9600000000000003,0.0,ferro
1,0.8051,0.10101010101010101,ferro
2,0.9986,0.10101010101010101,ferro
3,0.9670000000000001,0.10101010101010101,ferro
1,0.74095,0.20202020202020202,ferro
2,0.99265,0.20202020202020202,ferro
3,0.9712750000000001,0.20202020202020202,ferro
1,0.65245,0.30303030303030304,ferro
2,0.9785750000000001,0.30303030303030304,ferro
3,0.9722250000000001,0.30303030303030304,ferro
1,0.49529999999999996,0.40404040404040403,ferro
2,0.958625,0.40404040404040403,ferro
3,0.9709750000000001,0.40404040404040403,ferro
1,0.401625,0.5050505050505051,ferro
2,0.9306,0.5050505050505051,ferro
3,0.9684250000000001,0.5050505050505051,ferro
1,0.38889999999999997,0.6060606060606061,ferro
2,0.8975500000000001,0.6060606060606061,ferro
3,0.962375,0.6060606060606061,ferro
1,0.345275,0.7070707070707071,ferro
2,0.8539500000000001,0.7070707070707071,ferro
3,0.9555,0.7070707070707071,ferro
1,0.27507499999999996,0.8080808080808081,ferro
2,0.80765,0.8080808080808081,ferro
3,0.9448500000000001,0.8080808080808081,ferro
1,0.283875,0.9090909090909091,ferro
2,0.764925,0.9090909090909091,ferro
3,0.931325,0.9090909090909091,ferro
1,0.194825,1.0101010101010102,ferro
2,0.7115,1.0101010101010102,ferro
3,0.91615,1.0101010101010102,ferro
1,0.11607500000000001,1.1111111111111112,ferro
2,0.6707000000000001,1.1111111111111112,ferro
3,0.895775,1.1111111111111112,ferro
1,0.10557500000000002,1.2121212121212122,ferro
2,0.6249750000000001,1.2121212121212122,ferro
3,0.8763000000000001,1.2121212121212122,ferro
1,0.084925,1.3131313131313131,ferro
2,0.5766,1.3131313131313131,ferro
3,0.8572,1.3131313131313131,ferro
1,0.12575,1.4141414141414141,ferro
2,0.538825,1.4141414141414141,ferro
3,0.8261500000000002,1.4141414141414141,ferro
1,0.076625,1.5151515151515151,ferro
2,0.48845000000000005,1.5151515151515151,ferro
3,0.7971999999999999,1.5151515151515151,ferro
1,0.05695,1.6161616161616161,ferro
2,0.456775,1.6161616161616161,ferro
3,0.7703749999999999,1.6161616161616161,ferro
1,0.078825,1.7171717171717171,ferro
2,0.42610000000000003,1.7171717171717171,ferro
3,0.7367500000000001,1.7171717171717171,ferro
1,0.057725000000000005,1.8181818181818181,ferro
2,0.38967500000000005,1.8181818181818181,ferro
3,0.7067,1.8181818181818181,ferro
1,0.0528,1.9191919191919191,ferro
2,0.28204999999999997,1.9191919191919191,ferro
3,0.6714,1.9191919191919191,ferro
1,0.04214999999999999,2.0202020202020203,ferro
2,0.130425,2.0202020202020203,ferro
3,0.64405,2.0202020202020203,ferro
1,0.030325,2.121212121212121,ferro
2,0.242325,2.121212121212121,ferro
3,0.6091,2.121212121212121,ferro
1,0.03825,2.2222222222222223,ferro
2,0.12342499999999998,2.2222222222222223,ferro
3,0.5843,2.2222222222222223,ferro
1,0.01575,2.323232323232323,ferro
2,0.1202,2.323232323232323,ferro
3,0.53735,2.323232323232323,ferro
1,0.027175,2.4242424242424243,ferro
2,0.126025,2.4242424242424243,ferro
3,0.42905000000000004,2.4242424242424243,ferro
1,0.023525,2.525252525252525,ferro
2,0.14397500000000002,2.525252525252525,ferro
3,0.292075,2.525252525252525,ferro
1,0.02285,2.6262626262626263,ferro
2,0.09395,2.6262626262626263,ferro
3,0.309775,2.6262626262626263,ferro
1,0.01895,2.727272727272727,ferro
2,0.0925,2.727272727272727,ferro
3,0.17905,2.727272727272727,ferro
1,0.01585,2.8282828282828283,ferro
2,0.10290000000000002,2.8282828282828283,ferro
3,0.13545000000000001,2.8282828282828283,ferro
1,0.0121,2.929292929292929,ferro
2,0.05487499999999999,2.929292929292929,ferro
3,0.133975,2.929292929292929,ferro
1,0.015974999999999996,3.0303030303030303,ferro
2,0.042550000000000004,3.0303030303030303,ferro
3,0.11385,3.0303030303030303,ferro
1,0.00795,3.131313131313131,ferro
2,0.052175,3.131313131313131,ferro
3,0.074525,3.131313131313131,ferro
1,0.0164,3.2323232323232323,ferro
2,0.057775,3.2323232323232323,ferro
3,0.103375,3.2323232323232323,ferro
1,0.007025,3.3333333333333335,ferro
2,0.027875000000000004,3.3333333333333335,ferro
3,0.045125,3.3333333333333335,ferro
1,0.016325,3.4343434343434343,ferro
2,0.059025,3.4343434343434343,ferro
3,0.04825,3.4343434343434343,ferro
1,0.023649999999999997,3.5353535353535355,ferro
2,0.037675,3.5353535353535355,ferro
3,0.066825,3.5353535353535355,ferro
1,0.011350000000000002,3.6363636363636362,ferro
2,0.043825,3.6363636363636362,ferro
3,0.05422500000000001,3.6363636363636362,ferro
1,0.017099999999999997,3.7373737373737375,ferro
2,0.027574999999999995,3.7373737373737375,ferro
3,0.029475,3.7373737373737375,ferro
1,0.020524999999999998,3.8383838383838382,ferro
2,0.0349,3.8383838383838382,ferro
3,0.04404999999999999,3.8383838383838382,ferro
1,0.011275,3.9393939393939394,ferro
2,0.029525000000000003,3.9393939393939394,ferro
3,0.028974999999999994,3.9393939393939394,ferro
1,0.008925000000000002,4.040404040404041,ferro
2,0.028700000000000003,4.040404040404041,ferro
3,0.028700000000000003,4.040404040404041,ferro
1,0.007549999999999998,4.141414141414141,ferro
2,0.017125,4.141414141414141,ferro
3,0.04242499999999999,4.141414141414141,ferro
1,0.011450000000000002,4.242424242424242,ferro
2,0.019275,4.242424242424242,ferro
3,0.048775,4.242424242424242,ferro
1,0.009474999999999999,4.343434343434343,ferro
2,0.030525,4.343434343434343,ferro
3,0.024849999999999997,4.343434343434343,ferro
1,0.008974999999999999,4.444444444444445,ferro
2,0.019125,4.444444444444445,ferro
3,0.0221,4.444444444444445,ferro
1,0.006450000000000001,4.545454545454545,ferro
2,0.017775,4.545454545454545,ferro
3,0.009525000000000002,4.545454545454545,ferro
1,0.014150000000000001,4.646464646464646,ferro
2,0.0176,4.646464646464646,ferro
3,0.024,4.646464646464646,ferro
1,0.006675,4.747474747474747,ferro
2,0.03305,4.747474747474747,ferro
3,0.02185,4.747474747474747,ferro
1,0.007875,4.848484848484849,ferro
2,0.017074999999999996,4.848484848484849,ferro
3,0.008725000000000002,4.848484848484849,ferro
1,0.009275,4.94949494949495,ferro
2,0.032825,4.94949494949495,ferro
3,0.010750000000000003,4.94949494949495,ferro
1,0.00605,5.05050505050505,ferro
2,0.0109,5.05050505050505,ferro
3,0.006475000000000002,5.05050505050505,ferro
1,0.010249999999999999,5.151515151515151,ferro
2,0.009600000000000001,5.151515151515151,ferro
3,0.01865,5.151515151515151,ferro
1,0.005975000000000001,5.252525252525253,ferro
2,0.012050000000000002,5.252525252525253,ferro
3,0.028874999999999998,5.252525252525253,ferro
1,0.007425,5.353535353535354,ferro
2,0.0056500000000000005,5.353535353535354,ferro
3,0.018875000000000003,5.353535353535354,ferro
1,0.01245,5.454545454545454,ferro
2,0.022825,5.454545454545454,ferro
3,0.01235,5.454545454545454,ferro
1,0.011699999999999999,5.555555555555555,ferro
2,0.012475000000000007,5.555555555555555,ferro
3,0.020375,5.555555555555555,ferro
1,0.010125000000000002,5.656565656565657,ferro
2,0.01065,5.656565656565657,ferro
3,0.01755,5.656565656565657,ferro
1,0.009075,5.757575757575758,ferro
2,0.005724999999999999,5.757575757575758,ferro
3,0.016375,5.757575757575758,ferro
1,0.012575,5.858585858585858,ferro
2,0.011175000000000001,5.858585858585858,ferro
3,0.013250000000000001,5.858585858585858,ferro
1,0.008649999999999998,5.959595959595959,ferro
2,0.0070999999999999995,5.959595959595959,ferro
3,0.010050000000000002,5.959595959595959,ferro
1,0.006400000000000001,6.0606060606060606,ferro
2,0.008650000000000003,6.0606060606060606,ferro
3,0.013000000000000001,6.0606060606060606,ferro
