m,mean_m,T,interaction_type
1,0.22000000000000008,0.0,spin_glass
2,0.2,0.0,spin_glass
3,0.25999999999999995,0.0,spin_glass
1,0.15285,0.10101010101010101,spin_glass
2,0.12190000000000004,0.10101010101010101,spin_glass
3,0.23975000000000005,0.10101010101010101,spin_glass
1,0.0868,0.20202020202020202,spin_glass
2,0.0179,0.20202020202020202,spin_glass
3,0.18805,0.20202020202020202,spin_glass
1,0.12225,0.30303030303030304,spin_glass
2,0.045950000000000005,0.30303030303030304,spin_glass
3,0.14835,0.30303030303030304,spin_glass
1,0.047200000000000006,0.40404040404040403,spin_glass
2,0.04630000000000001,0.40404040404040403,spin_glass
3,0.14520000000000002,0.40404040404040403,spin_glass
1,0.01645,0.5050505050505051,spin_glass
2,0.02735,0.5050505050505051,spin_glass
3,0.09495,0.5050505050505051,spin_glass
1,0.05295,0.6060606060606061,spin_glass
2,0.0524,0.6060606060606061,spin_glass
3,0.13765,0.6060606060606061,spin_glass
1,0.034,0.7070707070707071,spin_glass
2,0.0395,0.7070707070707071,spin_glass
3,0.1207,0.7070707070707071,spin_glass
1,0.040650000000000006,0.8080808080808081,spin_glass
2,0.042800000000000005,0.8080808080808081,spin_glass
3,0.10654999999999999,0.8080808080808081,spin_glass
1,0.02185,0.9090909090909091,spin_glass
2,0.01435,0.9090909090909091,spin_glass
3,0.043500000000000004,0.9090909090909091,spin_glass
1,0.025249999999999998,1.0101010101010102,spin_glass
2,0.02695,1.0101010101010102,spin_glass
3,0.08530000000000001,1.0101010101010102,spin_glass
1,0.016300000000000002,1.1111111111111112,spin_glass
2,0.01125,1.1111111111111112,spin_glass
3,0.03725,1.1111111111111112,spin_glass
1,0.009000000000000001,1.2121212121212122,spin_glass
2,0.022150000000000006,1.2121212121212122,spin_glass
3,0.015700000000000002,1.2121212121212122,spin_glass
1,0.0212,1.3131313131313131,spin_glass
2,0.0088,1.3131313131313131,spin_glass
3,0.030000000000000006,1.3131313131313131,spin_glass
1,0.01295,1.4141414141414141,spin_glass
2,0.0063,1.4141414141414141,spin_glass
3,0.018899999999999997,1.4141414141414141,spin_glass
1,0.009349999999999999,1.5151515151515151,spin_glass
2,0.004250000000000003,1.5151515151515151,spin_glass
3,0.013249999999999998,1.5151515151515151,spin_glass
1,0.006249999999999999,1.6161616161616161,spin_glass
2,0.012100000000000001,1.6161616161616161,spin_glass
3,0.003500000000000001,1.6161616161616161,spin_glass
1,0.00385,1.7171717171717171,spin_glass
2,0.017650000000000002,1.7171717171717171,spin_glass
3,0.01645,1.7171717171717171,spin_glass
1,0.0037,1.8181818181818181,spin_glass
2,0.014750000000000001,1.8181818181818181,spin_glass
3,0.012750000000000001,1.8181818181818181,spin_glass
1,0.010050000000000002,1.9191919191919191,spin_glass
2,0.014700000000000001,1.9191919191919191,spin_glass
3,0.011000000000000001,1.9191919191919191,spin_glass
1,0.0102,2.0202020202020203,spin_glass
2,0.01395,2.0202020202020203,spin_glass
3,0.018150000000000003,2.0202020202020203,spin_glass
1,0.0068,2.121212121212121,spin_glass
2,0.006000000000000001,2.121212121212121,spin_glass
3,0.0192,2.121212121212121,spin_glass
1,0.0022,2.2222222222222223,spin_glass
2,0.00885,2.2222222222222223,spin_glass
3,0.007350000000000002,2.2222222222222223,spin_glass
1,0.005549999999999999,2.323232323232323,spin_glass
2,0.010149999999999998,2.323232323232323,spin_glass
3,0.0011500000000000004,2.323232323232323,spin_glass
1,0.013000000000000001,2.4242424242424243,spin_glass
2,0.012750000000000001,2.4242424242424243,spin_glass
3,0.02335,2.4242424242424243,spin_glass
1,0.0052000000000000015,2.525252525252525,spin_glass
2,0.006000000000000001,2.525252525252525,spin_glass
3,0.0046,2.525252525252525,spin_glass
1,0.01405,2.6262626262626263,spin_glass
2,0.004050000000000001,2.6262626262626263,spin_glass
3,0.0069500000000000004,2.6262626262626263,spin_glass
1,0.0073,2.727272727272727,spin_glass
2,0.00775,2.727272727272727,spin_glass
3,0.008400000000000001,2.727272727272727,spin_glass
1,0.007650000000000001,2.8282828282828283,spin_glass
2,0.0137,2.8282828282828283,spin_glass
3,0.00935,2.8282828282828283,spin_glass
1,0.004,2.929292929292929,spin_glass
2,0.01315,2.929292929292929,spin_glass
3,0.01435,2.929292929292929,spin_glass
1,0.007550000000000001,3.0303030303030303,spin_glass
