N,mean_m,T,interaction_type
25,0.44000000000000017,0.0,spin_glass
49,0.1836734693877551,0.0,spin_glass
100,0.18,0.0,spin_glass
25,0.2800000000000001,0.20202020202020202,spin_glass
49,0.10204081632653061,0.20202020202020202,spin_glass
100,0.18,0.20202020202020202,spin_glass
25,0.08780000000000002,0.40404040404040403,spin_glass
49,0.09510204081632652,0.40404040404040403,spin_glass
100,0.20945000000000003,0.40404040404040403,spin_glass
25,0.06280000000000001,0.6060606060606061,spin_glass
49,0.08,0.6060606060606061,spin_glass
100,0.07894999999999999,0.6060606060606061,spin_glass
25,0.05460000000000001,0.8080808080808081,spin_glass
49,0.16448979591836735,0.8080808080808081,spin_glass
100,0.1874,0.8080808080808081,spin_glass
25,0.0558,1.0101010101010102,spin_glass
49,0.10979591836734695,1.0101010101010102,spin_glass
100,0.18969999999999998,1.0101010101010102,spin_glass
25,0.0458,1.2121212121212122,spin_glass
49,0.10612244897959183,1.2121212121212122,spin_glass
100,0.18059999999999998,1.2121212121212122,spin_glass
25,0.032400000000000005,1.4141414141414141,spin_glass
49,0.08724489795918366,1.4141414141414141,spin_glass
100,0.1025,1.4141414141414141,spin_glass
25,0.0206,1.6161616161616161,spin_glass
49,0.09744897959183672,1.6161616161616161,spin_glass
100,0.09015000000000001,1.6161616161616161,spin_glass
25,0.024399999999999998,1.8181818181818181,spin_glass
49,0.07,1.8181818181818181,spin_glass
100,0.09510000000000002,1.8181818181818181,spin_glass
25,0.0584,2.0202020202020203,spin_glass
49,0.08418367346938777,2.0202020202020203,spin_glass
100,0.18739999999999998,2.0202020202020203,spin_glass
25,0.0554,2.2222222222222223,spin_glass
49,0.08377551020408162,2.2222222222222223,spin_glass
100,0.11920000000000001,2.2222222222222223,spin_glass
25,0.0472,2.4242424242424243,spin_glass
49,0.0926530612244898,2.4242424242424243,spin_glass
100,0.17884999999999998,2.4242424242424243,spin_glass
25,0.03760000000000001,2.6262626262626263,spin_glass
49,0.05275510204081632,2.6262626262626263,spin_glass
100,0.1328,2.6262626262626263,spin_glass
25,0.0416,2.8282828282828283,spin_glass
49,0.05591836734693878,2.8282828282828283,spin_glass
100,0.1443,2.8282828282828283,spin_glass
25,0.0328,3.0303030303030303,spin_glass
49,0.07061224489795918,3.0303030303030303,spin_glass
100,0.1468,3.0303030303030303,spin_glass
25,0.029000000000000005,3.2323232323232323,spin_glass
49,0.04459183673469387,3.2323232323232323,spin_glass
100,0.13735,3.2323232323232323,spin_glass
25,0.030600000000000006,3.4343434343434343,spin_glass
49,0.06795918367346938,3.4343434343434343,spin_glass
100,0.11810000000000002,3.4343434343434343,spin_glass
25,0.037,3.6363636363636362,spin_glass
49,0.035510204081632656,3.6363636363636362,spin_glass
100,0.1142,3.6363636363636362,spin_glass
25,0.027200000000000005,3.8383838383838382,spin_glass
49,0.035,3.8383838383838382,spin_glass
100,0.11964999999999999,3.8383838383838382,spin_glass
25,0.0068,4.040404040404041,spin_glass
49,0.02,4.040404040404041,spin_glass
100,0.09844999999999998,4.040404040404041,spin_glass
25,0.0176,4.242424242424242,spin_glass
