N,mean_m,T,interaction_type
25,0.039999999999999994,0.0,antiferro
49,0.020408163265306117,0.0,antiferro
100,0.0,0.0,antiferro
25,0.028399999999999998,0.10101010101010101,antiferro
49,0.020408163265306117,0.10101010101010101,antiferro
100,0.0,0.10101010101010101,antiferro
25,0.013999999999999999,0.20202020202020202,antiferro
49,0.019795918367346937,0.20202020202020202,antiferro
100,0.0004,0.20202020202020202,antiferro
25,0.019799999999999998,0.30303030303030304,antiferro
49,0.01897959183673469,0.30303030303030304,antiferro
100,0.0009000000000000001,0.30303030303030304,antiferro
25,0.0154,0.40404040404040403,antiferro
49,0.014897959183673468,0.40404040404040403,antiferro
100,0.00385,0.40404040404040403,antiferro
25,0.0054,0.5050505050505051,antiferro
49,0.014897959183673468,0.5050505050505051,antiferro
100,0.009349999999999999,0.5050505050505051,antiferro
25,0.00020000000000000017,0.6060606060606061,antiferro
49,0.0031632653061224487,0.6060606060606061,antiferro
100,0.016200000000000003,0.6060606060606061,antiferro
25,0.0026,0.7070707070707071,antiferro
49,0.005306122448979592,0.7070707070707071,antiferro
100,0.00685,0.7070707070707071,antiferro
25,0.0108,0.8080808080808081,antiferro
49,0.0003061224489795922,0.8080808080808081,antiferro
100,0.019,0.8080808080808081,antiferro
25,0.008400000000000001,0.9090909090909091,antiferro
49,0.0069387755102040816,0.9090909090909091,antiferro
100,0.0128,0.9090909090909091,antiferro
25,0.0064,1.0101010101010102,antiferro
49,0.007346938775510204,1.0101010101010102,antiferro
100,0.016749999999999998,1.0101010101010102,antiferro
25,0.009,1.1111111111111112,antiferro
49,0.006326530612244898,1.1111111111111112,antiferro
100,0.00295,1.1111111111111112,antiferro
25,0.011200000000000002,1.2121212121212122,antiferro
49,0.006326530612244898,1.2121212121212122,antiferro
100,0.012850000000000002,1.2121212121212122,antiferro
25,0.0092,1.3131313131313131,antiferro
49,0.0067346938775510205,1.3131313131313131,antiferro
100,0.012349999999999998,1.3131313131313131,antiferro
25,0.0038,1.4141414141414141,antiferro
49,0.004693877551020408,1.4141414141414141,antiferro
100,0.010599999999999998,1.4141414141414141,antiferro
25,0.006,1.5151515151515151,antiferro
49,0.0070408163265306125,1.5151515151515151,antiferro
100,0.0131,1.5151515151515151,antiferro
25,0.007600000000000001,1.6161616161616161,antiferro
49,0.00816326530612245,1.6161616161616161,antiferro
100,0.0126,1.6161616161616161,antiferro
25,0.009399999999999999,1.7171717171717171,antiferro
49,0.0074489795918367355,1.7171717171717171,antiferro
100,0.00655,1.7171717171717171,antiferro
25,0.013199999999999998,1.8181818181818181,antiferro
49,0.005408163265306121,1.8181818181818181,antiferro
100,0.00965,1.8181818181818181,antiferro
25,0.012,1.9191919191919191,antiferro
49,0.005918367346938775,1.9191919191919191,antiferro
100,0.009300000000000001,1.9191919191919191,antiferro
25,0.0038,2.0202020202020203,antiferro
49,0.0070408163265306125,2.0202020202020203,antiferro
100,0.0072,2.0202020202020203,antiferro
25,0.008,2.121212121212121,antiferro
49,0.007551020408163265,2.121212121212121,antiferro
100,0.0073,2.121212121212121,antiferro
25,0.009000000000000001,2.2222222222222223,antiferro
49,0.004897959183673469,2.2222222222222223,antiferro
