L,mean_m,T,interaction_type
5,0.039999999999999994,0.0,antiferro
7,0.020408163265306117,0.0,antiferro
10,0.0,0.0,antiferro
5,0.03879999999999999,0.10101010101010101,antiferro
7,0.019999999999999997,0.10101010101010101,antiferro
10,0.0125,0.10101010101010101,antiferro
5,0.037399999999999996,0.20202020202020202,antiferro
7,0.017244897959183672,0.20202020202020202,antiferro
10,0.011049999999999999,0.20202020202020202,antiferro
5,0.028999999999999998,0.30303030303030304,antiferro
7,0.020510204081632653,0.30303030303030304,antiferro
10,0.006849999999999999,0.30303030303030304,antiferro
5,0.019000000000000003,0.40404040404040403,antiferro
7,0.010612244897959183,0.40404040404040403,antiferro
10,0.0027999999999999995,0.40404040404040403,antiferro
5,0.005600000000000001,0.5050505050505051,antiferro
7,0.013979591836734695,0.5050505050505051,antiferro
10,0.0051,0.5050505050505051,antiferro
5,0.012600000000000002,0.6060606060606061,antiferro
7,0.01183673469387755,0.6060606060606061,antiferro
10,0.01255,0.6060606060606061,antiferro
5,0.0158,0.7070707070707071,antiferro
7,0.008061224489795918,0.7070707070707071,antiferro
10,0.00705,0.7070707070707071,antiferro
5,0.022000000000000002,0.8080808080808081,antiferro
7,0.010204081632653062,0.8080808080808081,antiferro
10,0.00225,0.8080808080808081,antiferro
5,0.0202,0.9090909090909091,antiferro
7,0.0060204081632653055,0.9090909090909091,antiferro
10,0.00575,0.9090909090909091,antiferro
5,0.0288,1.0101010101010102,antiferro
7,0.008775510204081632,1.0101010101010102,antiferro
10,0.0019500000000000006,1.0101010101010102,antiferro
5,0.029000000000000005,1.1111111111111112,antiferro
7,0.004285714285714286,1.1111111111111112,antiferro
10,0.003999999999999999,1.1111111111111112,antiferro
5,0.0298,1.2121212121212122,antiferro
7,0.0074489795918367355,1.2121212121212122,antiferro
10,0.006200000000000001,1.2121212121212122,antiferro
5,0.028000000000000004,1.3131313131313131,antiferro
7,0.008265306122448982,1.3131313131313131,antiferro
10,0.0027,1.3131313131313131,antiferro
5,0.0268,1.4141414141414141,antiferro
7,0.00826530612244898,1.4141414141414141,antiferro
10,0.0027,1.4141414141414141,antiferro
5,0.0264,1.5151515151515151,antiferro
7,0.005102040816326529,1.5151515151515151,antiferro
10,0.0027999999999999995,1.5151515151515151,antiferro
5,0.029000000000000005,1.6161616161616161,antiferro
7,0.004285714285714286,1.6161616161616161,antiferro
10,0.003550000000000001,1.6161616161616161,antiferro
5,0.030999999999999996,1.7171717171717171,antiferro
7,0.002040816326530613,1.7171717171717171,antiferro
10,0.00365,1.7171717171717171,antiferro
5,0.027000000000000003,1.8181818181818181,antiferro
7,0.0061224489795918356,1.8181818181818181,antiferro
10,0.00395,1.8181818181818181,antiferro
5,0.031200000000000002,1.9191919191919191,antiferro
7,0.007142857142857143,1.9191919191919191,antiferro
10,0.0014500000000000012,1.9191919191919191,antiferro
5,0.0254,2.0202020202020203,antiferro
7,0.0029591836734693872,2.0202020202020203,antiferro
10,0.004299999999999999,2.0202020202020203,antiferro
5,0.023799999999999998,2.121212121212121,antiferro
7,0.004387755102040814,2.121212121212121,antiferro
10,0.0029500000000000004,2.121212121212121,antiferro
5,0.026000000000000002,2.2222222222222223,antiferro
7,0.008163265306122446,2.2222222222222223,antiferro
10,0.0033499999999999997,2.2222222222222223,antiferro
5,0.0386,2.323232323232323,antiferro
7,0.005306122448979591,2.323232323232323,antiferro
10,0.0010000000000000005,2.323232323232323,antiferro
5,0.021400000000000002,2.4242424242424243,antiferro
7,0.008265306122448978,2.4242424242424243,antiferro
10,0.00285,2.4242424242424243,antiferro
5,0.03899999999999999,2.525252525252525,antiferro
7,0.004795918367346939,2.525252525252525,antiferro
10,0.00029999999999999916,2.525252525252525,antiferro
5,0.0366,2.6262626262626263,antiferro
7,0.0010204081632653043,2.6262626262626263,antiferro
10,0.0051,2.6262626262626263,antiferro
5,0.030000000000000006,2.727272727272727,antiferro
7,0.0017346938775510197,2.727272727272727,antiferro
10,0.003550000000000001,2.727272727272727,antiferro
5,0.024800000000000003,2.8282828282828283,antiferro
7,0.004387755102040816,2.8282828282828283,antiferro
10,0.00485,2.8282828282828283,antiferro
5,0.016999999999999998,2.929292929292929,antiferro
7,0.0011224489795918363,2.929292929292929,antiferro
10,0.00425,2.929292929292929,antiferro
5,0.0438,3.0303030303030303,antiferro
7,0.002448979591836735,3.0303030303030303,antiferro
10,0.0023499999999999997,3.0303030303030303,antiferro
5,0.0264,3.131313131313131,antiferro
7,0.006632653061224491,3.131313131313131,antiferro
10,0.007600000000000001,3.131313131313131,antiferro
5,0.0264,3.2323232323232323,antiferro
7,0.003979591836734693,3.2323232323232323,antiferro
10,0.0018000000000000008,3.2323232323232323,antiferro
5,0.029800000000000004,3.3333333333333335,antiferro
7,0.0024489795918367346,3.3333333333333335,antiferro
10,0.004399999999999999,3.3333333333333335,antiferro
5,0.0318,3.4343434343434343,antiferro
7,0.0030612244897959186,3.4343434343434343,antiferro
10,0.0056999999999999985,3.4343434343434343,antiferro
5,0.023600000000000003,3.5353535353535355,antiferro
7,0.005102040816326529,3.5353535353535355,antiferro
10,0.0021499999999999996,3.5353535353535355,antiferro
5,0.011799999999999998,3.6363636363636362,antiferro
7,0.005510204081632653,3.6363636363636362,antiferro
10,0.0014999999999999994,3.6363636363636362,antiferro
5,0.0194,3.7373737373737375,antiferro
7,0.005204081632653061,3.7373737373737375,antiferro
10,0.0055,3.7373737373737375,antiferro
5,0.023200000000000002,3.8383838383838382,antiferro
7,0.0030612244897959186,3.8383838383838382,antiferro
10,0.0038000000000000004,3.8383838383838382,antiferro
5,0.017200000000000003,3.9393939393939394,antiferro
7,0.005918367346938776,3.9393939393939394,antiferro
10,0.0006500000000000006,3.9393939393939394,antiferro
5,0.018000000000000002,4.040404040404041,antiferro
7,0.00979591836734694,4.040404040404041,antiferro
10,0.00295,4.040404040404041,antiferro
5,0.0212,4.141414141414141,antiferro
7,0.0018367346938775503,4.141414141414141,antiferro
10,0.0052,4.141414141414141,antiferro
5,0.0258,4.242424242424242,antiferro
7,0.012857142857142855,4.242424242424242,antiferro
10,0.0097,4.242424242424242,antiferro
5,0.0208,4.343434343434343,antiferro
7,0.004489795918367346,4.343434343434343,antiferro
10,0.0041,4.343434343434343,antiferro
5,0.014800000000000002,4.444444444444445,antiferro
7,0.004591836734693879,4.444444444444445,antiferro
10,0.0024499999999999995,4.444444444444445,antiferro
5,0.027000000000000003,4.545454545454545,antiferro
7,0.006326530612244898,4.545454545454545,antiferro
10,0.0025999999999999994,4.545454545454545,antiferro
5,0.0188,4.646464646464646,antiferro
7,0.0008163265306122442,4.646464646464646,antiferro
10,0.004699999999999999,4.646464646464646,antiferro
5,0.0188,4.747474747474747,antiferro
7,0.003673469387755102,4.747474747474747,antiferro
10,0.0054,4.747474747474747,antiferro
5,0.0218,4.848484848484849,antiferro
7,0.006224489795918369,4.848484848484849,antiferro
10,0.0054,4.848484848484849,antiferro
5,0.014199999999999999,4.94949494949495,antiferro
7,0.009285714285714286,4.94949494949495,antiferro
10,0.0032999999999999995,4.94949494949495,antiferro
5,0.0216,5.05050505050505,antiferro
7,0.008775510204081632,5.05050505050505,antiferro
10,0.002100000000000001,5.05050505050505,antiferro
5,0.013200000000000003,5.151515151515151,antiferro
7,0.006836734693877553,5.151515151515151,antiferro
10,0.0010999999999999998,5.151515151515151,antiferro
5,0.0202,5.252525252525253,antiferro
7,0.006836734693877552,5.252525252525253,antiferro
10,0.0013499999999999999,5.252525252525253,antiferro
5,0.0164,5.353535353535354,antiferro
7,0.008979591836734694,5.353535353535354,antiferro
10,0.004200000000000001,5.353535353535354,antiferro
5,0.008600000000000002,5.454545454545454,antiferro
7,0.004081632653061225,5.454545454545454,antiferro
10,0.0031,5.454545454545454,antiferro
5,0.0144,5.555555555555555,antiferro
7,0.000816326530612244,5.555555555555555,antiferro
